Num, FullName,"[Fe/H] [-]","M* Msun","Per d","msini Msun","a AU"
284,2M19123733+2724276,0.039718,3.278498,36.815662,0.0233533,0.32022
285,2M19130255-0625100,0.42325,0.724009,158.9041,0.0191999,0.50663
286,2M19131944-0532048,0.151048,1.655397,152.76613,0.0266271,0.65458
287,2M19134104-0712053,0.175919,1.695142,191.43588,1.07742,0.55835
288,2M19145920-0539507,-0.066056,1.531016,521.29427,0.584649,1.17761
289,2M19160171+2714504,0.024659,2.44504,531.91489,0.176303,1.65232
290,2M19240789+2504214,-0.391262,2.123926,515.0319,0.104545,1.56542
291,2M19263602+4242028,0.175,1.138551,145.98568,0.59313,0.4284
292,2M19270523+4105530,-0.29816,1.429955,82.318554,0.201521,0.38212
293,2M19273730+2555338,-0.038369,1.073467,18.294038,0.302289,0.11791
294,2M19275008+2426204,-0.044011,2.46749,332.89343,0.018043,1.26408
295,2M19290626+4202158,0.330145,1.311615,63.628492,0.590963,0.26645
296,2M19291780+4302004,0.20825,1.207963,274.41113,0.0906403,0.83869
297,2M19292561+2626538,-0.351786,1.148174,481.792,0.193025,1.13549
298,2M19292854+2459037,-0.372799,1.019418,1303.5317,0.333917,1.9458
299,2M19301464+2613471,0.262135,1.559485,46.217128,0.129001,0.27719
300,2M19315429+4232516,-0.147998,1.499385,103.30171,0.650536,0.38783
301,2M19335125+4253024,-0.013818,0.581405,4.2860654,0.244345,0.03411
302,2M19352118+4207199,-0.25478,0.992647,10.81629,0.191229,0.0849
303,2M19390004+2427162,0.209526,1.769254,940.27945,0.824024,1.76061
304,2M19394424+2437530,0.20785,1.218704,1248.1651,0.709587,1.7847
305,2M19401388+2249182,0.256465,4.70336,1130.9816,0.169041,3.47656
306,2M19404367+2303446,0.326793,1.693382,1568.3157,0.328326,2.7979
307,2M19405532+2401157,0.093295,2.605801,107.94045,0.39883,0.55522
308,2M19410909+2331524,0.140623,2.991544,566.40923,0.274872,1.82054
309,2M19411443+2454266,0.207486,2.821382,48.876658,0.0166533,0.36823
310,2M19424644+2318442,0.153647,3.396288,1550.6593,0.508464,3.59101
311,2M19433509+2456366,-0.074275,1.473563,233.36921,0.384054,0.72337
312,2M19445003+2439272,-0.019591,2.29067,1002.2497,0.105674,2.50718
313,2M19452035+2457557,-0.672227,1.086313,742.20022,0.14883,1.51392
314,2M19453527+2333077,0.268544,2.230614,483.11099,0.234476,1.47288
315,2M19471487+2244208,-0.49995,1.145178,1370.4464,0.163213,2.31155
316,2M19474741+2321103,0.084499,1.635856,36.523922,0.0248217,0.25131
317,2M19480488+2401144,0.373841,2.092347,1310.1157,0.487708,2.60632
318,2M19481421+2307432,0.052966,0.869884,777.85057,0.190458,1.38473
319,2M19541546+2141090,-0.153003,5.814817,20.358046,0.332178,0.25284
320,2M19565473+2206194,0.171776,1.306941,99.319998,0.212082,0.41514
321,2M19595397+2316326,-0.165208,2.287082,421.01082,0.167296,1.3818
322,2M20000379+2209030,-1.313113,0.90299,481.41921,0.446719,0.88881
323,2M20015934+2044307,0.398527,1.758143,193.27082,0.174481,0.7413
324,2M20032039+2127112,0.069533,2.168118,54.045227,0.0118183,0.36077
325,2M20110568+1955061,-0.043993,0.857008,120.98087,0.124556,0.4154
326,2M20111794+1908468,-0.36485,1.632042,65.733791,0.327499,0.33222
327,2M20122312+1922250,0.203142,1.811087,157.25702,0.0381202,0.68541
328,2M20123077+1850399,0.214827,1.459181,98.669288,0.0220058,0.46927
329,2M20130687+2044173,-0.053369,1.468913,17.931923,0.0280827,0.1505
330,2M20183197+1953430,0.163047,2.281689,51.295358,1.47995,0.25487
331,2M20443307+5040001,-0.21751,0.512136,28.107732,0.017543,0.14153
332,2M20455210+5138327,0.144961,2.201084,27.200908,0.0483645,0.22694
333,2M20472800+5111090,-0.361506,1.249856,498.71431,0.748969,0.96942
334,2M20511111+5054053,0.027538,2.862602,14.640287,0.0176691,0.16562
335,2M20512287+5144445,0.036813,1.244105,107.28844,0.957135,0.32487
336,2M20525666+4958258,0.27107,1.255272,34.127074,0.906643,0.15459
337,2M20531937+5012375,0.099797,2.415826,14.705947,0.0145324,0.15699
338,2M20533921+4948286,-0.077571,3.158612,151.07893,0.03419,0.80868
339,2M20544193+5133387,0.21449,0.674412,10.169869,0.457829,0.05703
340,2M20544823+5017406,0.206879,1.827672,211.77284,0.0260417,0.8422
341,2M20551781+5012028,-0.153793,2.368866,680.19455,0.0347687,1.99823
342,2M20555422+5036211,-0.071347,8.287677,10.832964,0.0508001,0.19311
343,2M20563173+5153589,0.034839,1.356401,238.24846,0.110259,0.79029
344,2M20564020+5021315,-0.359647,1.225897,19.550699,0.0529816,0.14778
345,2M20574795+5015567,-0.45157,1.028566,6.9969748,0.0194937,0.07137
346,2M20583988+5020511,-0.107332,2.403863,223.31646,0.134499,0.93057
347,2M20592885+5050588,0.009721,2.391958,250.40263,0.349696,0.94937
348,2M21000032+5047506,0.010561,0.931075,0.82295759,0.00414994,0.01673
349,2M21085247+4933419,-0.106381,1.492935,1598.629,0.212096,2.79897
350,2M21115923+4702111,-0.027335,2.525797,669.35492,0.451876,1.82747
351,2M21170564+4746449,-0.267566,1.592421,1394.6868,0.469457,2.40141
352,2M21172208+4843343,0.151455,3.481946,1285.35,0.29751,3.32008
353,2M21182361+4817275,-0.290842,0.970849,1347.2229,0.184643,2.10475
354,2M21222665+4539494,-0.259269,1.316768,564.24032,0.302644,1.27601
355,2M21225400+4453001,-0.228159,1.298449,1039.0722,0.172904,2.01521
356,2M21234925+4534342,-0.328128,1.73382,159.88473,0.201883,0.64356
357,2M21244622+1247365,-0.195255,1.048664,109.43646,0.113846,0.4247
358,2M21254515+4412510,-0.322843,1.062918,974.03512,0.222044,1.72939
359,2M21262850+1138426,0.077951,1.138479,1557.5077,0.286931,2.36373
360,2M21264913+4515101,-0.16394,0.663964,2.1998025,0.00516603,0.02873
361,2M21271422+4621236,-0.14614,0.82476,22.254918,0.121701,0.13248
